Goods ID,Level One Model,The Color ,PN,Alternative PN,Material Item Category,ID,P/N + zamiennik,The Material Sub-category ,Part Name
37804,Redmi Note 11 NFC,Blue,34080000179T,,Consumable,37804-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37804,Redmi Note 11 NFC,Blue,32110000CH9T,,Consumable,37804-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37804,Redmi Note 11 NFC,Blue,37010000C19T,,Consumable,37804-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37804,Redmi Note 11 NFC,Blue,55020000QL9T,,Structural Material,37804-Middle Frame,55020000QL9T,Middle Frame,Middle Frame Assy-K7SN-Blue
37804,Redmi Note 11 NFC,Blue,490100009H6G,,Structural Material,37804-Fingerprint Module,490100009H6G,Fingerprint Module,Fingerprint Module-Blue-K7S
37804,Redmi Note 11 NFC,Blue,48200000GU9T,,Accessory,37804-SIMCard Tray,48200000GU9T,SIMCard Tray,SIM Card Tray-K7S-Blue
37804,Redmi Note 11 NFC,Blue,48320000D89T,,Structural Material,37804-FPCClass ,48320000D89T,FPCClass ,Main FPC Assy-K7T
37804,Redmi Note 11 NFC,Blue,320200017F9T,,Consumable,37804-Adhesive Battery Cover,320200017F9T,Adhesive Battery Cover,Battery Cover Adhesive-K7S
37804,Redmi Note 11 NFC,Blue,320200017L9T,,Consumable,37804-Consumable,320200017L9T,Consumable,Rear Camera Deco Adhesive-K7S
37804,Redmi Note 11 NFC,Blue,321400001V1Y,,Consumable,37804-Adhesive Battery,321400001V1Y,Adhesive Battery,Easy Release Adhesive-Battery-K7T
37804,Redmi Note 11 NFC,Blue,48110000EB9T,,Structural Material,37804-Volume Key,48110000EB9T,Volume Key,Volume Key Assy-Blue-K7S
37804,Redmi Note 11 NFC,Blue,48320000GA9T,,Structural Material,37804-FPCClass ,48320000GA9T,FPCClass ,FPC Assy-Side Key-K7S
37805,Redmi Note 11 NFC,Blue,5600070K7T00,,Structural Material,37805-Others,5600070K7T00,Others,After Sales Rear Camera Deco Assy-K7T
37805,Redmi Note 11 NFC,Blue,32010001KS9T,,Consumable,37805-Consumable,32010001KS9T,Consumable,Support Foam Adhesive-Flash Light Board-K7S
37805,Redmi Note 11 NFC,Blue,320200017X9T,,Consumable,37805-Consumable,320200017X9T,Consumable,Flash Light Board Adhesive-K7S
37805,Redmi Note 11 NFC,Blue,37010000BV9T,,Consumable,37805-Consumable,37010000BV9T,Consumable,Seal Rubber-Light Sensor&Sub Mic-K7S
37805,Redmi Note 11 NFC,Blue,37010000BY9T,,Consumable,37805-Consumable,37010000BY9T,Consumable,Waterproof Rubber-Audio Jack-K7S
37805,Redmi Note 11 NFC,Blue,37010000C49T,,Consumable,37805-Consumable,37010000C49T,Consumable,Waterproof Adhesive Strip-Light Sensor-K7S
37805,Redmi Note 11 NFC,Blue,451100004K2N,,Consumable,37805-Consumable,451100004K2N,Consumable,Coaxial Cable-K7S
37805,Redmi Note 11 NFC,Blue,34080000179T,,Consumable,37805-Consumable,34080000179T,Consumable,Screw-1.4*3.5
37805,Redmi Note 11 NFC,Blue,32110000CH9T,,Consumable,37805-Consumable,32110000CH9T,Consumable,Conductive Copper-Front Camera-K7S
37805,Redmi Note 11 NFC,Blue,37010000C19T,,Consumable,37805-Consumable,37010000C19T,Consumable,Waterproof Rubber-USB-K7S
37805,Redmi Note 11 NFC,Blue,55020000QL9T,,Structural Material,37805-Middle Frame,55020000QL9T,Middle Frame,Middle Frame Assy-K7SN-Blue
37805,Redmi Note 11 NFC,Blue,490100009H6G,,Structural Material,37805-Fingerprint Module,490100009H6G,Fingerprint Module,Fingerprint Module-Blue-K7S
37805,Redmi Note 11 NFC,Blue,48200000GU9T,,Accessory,37805-SIMCard Tray,48200000GU9T,SIMCard Tray,SIM Card Tray-K7S-Blue
